time,EMA
2017-03-10,138.6313
2017-03-09,138.4811
2017-03-08,138.3387
2017-03-07,138.1558
2017-03-06,137.9538
2017-03-03,137.7461
2017-03-02,137.5413
2017-03-01,137.3243
2017-02-28,137.0794
2017-02-27,136.8649
2017-02-24,136.6531
2017-02-23,136.4046
2017-02-22,136.1461
2017-02-21,135.8906
2017-02-17,135.6448
2017-02-16,135.3872
2017-02-15,135.1118
2017-02-14,134.8267
2017-02-13,134.5616
2017-02-10,134.3038
2017-02-09,134.0522
2017-02-08,133.8198
2017-02-07,133.6000
2017-02-06,133.3612
2017-02-03,133.1602
2017-02-02,132.9559
2017-02-01,132.7679
2017-01-31,132.5809
2017-01-30,132.3863
2017-01-27,132.1667
2017-01-26,131.9179
2017-01-25,131.6418
2017-01-24,131.3661
2017-01-23,131.1243
2017-01-20,130.9577
2017-01-19,130.7956
2017-01-18,130.6919
2017-01-17,130.5862
2017-01-13,130.4605
2017-01-12,130.3412
2017-01-11,130.2095
2017-01-10,130.0784
2017-01-09,129.9814
2017-01-06,129.8474
2017-01-05,129.6797
2017-01-04,129.5223
2017-01-03,129.3525
2016-12-30,129.2134
2016-12-29,129.0912
2016-12-28,128.9564
2016-12-27,128.8257
2016-12-23,128.6768
2016-12-22,128.5319
2016-12-21,128.3783
2016-12-20,128.2171
2016-12-19,128.0483
2016-12-16,127.8912
2016-12-15,127.7301
2016-12-14,127.5445
2016-12-13,127.3470
2016-12-12,127.1493
2016-12-09,126.9934
2016-12-08,126.8176
2016-12-07,126.6574
2016-12-06,126.5033
2016-12-05,126.4192
2016-12-02,126.3418
2016-12-01,126.2598
2016-11-30,126.1795
2016-11-29,126.0581
2016-11-28,125.9126
2016-11-25,125.7479
2016-11-23,125.6026
2016-11-22,125.4735
2016-11-21,125.3303
2016-11-18,125.1827
2016-11-17,125.0712
2016-11-16,124.9672
2016-11-15,124.8696
2016-11-14,124.7801
2016-11-11,124.6964
2016-11-10,124.5606
2016-11-09,124.4394
2016-11-08,124.4048
2016-11-07,124.3636
2016-11-04,124.3354
2016-11-03,124.3603
